STT,Quan,Duong,Link,Lng,Lat
134,Quận Tân Bình,Trường Chinh - Bảy Hiền 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587478d8b807da0011e33cf3,106.6535944,10.79283876
135,Huyện Nhà Bè,Cầu Rạch Tôm (HCM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c64caa6bfb50011940098,106.6979098,10.67271183
136,Huyện Nhà Bè,Cầu Rạch Đĩa (LA),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6833a6bfb500119400a3,106.6977382,10.72398982
137,Quận Gò Vấp,Ngã sáu Nguyễn Thái Sơn 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df83d8c062921100c143e3,106.6783512,10.81408473
138,Quận 9,Xa lộ HN - Lê Văn Việt,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df8159c062921100c143dc,106.7742831,10.84907513
139,Quận Phú Nhuận,Nguyễn Văn Trỗi - Nguyễn Trọng Tuyển,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587ef2e4b807da0011e33d57,106.6723108,10.79768668
140,Huyện Hóc Môn,QL 22 - Nguyễn Văn Bứa 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589b3f7db3bf7600110283c6,106.5869254,10.88410884
141,Quận Thủ Đức,Quốc lộ 13 - Phạm Văn Đồng 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b5510817139d0010f35d4e,106.7143571,10.82547115
142,Quận Tân Bình,Cộng Hòa - Đường C 18,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=586e1d4ef9fab7001111b0a2,106.6511106,10.80160712
143,Quận Tân Bình,Trường Chinh - Tây Thạnh 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5874796db807da0011e33cf7,106.6307902,10.8199229
